tx_i,date,transaction_type,effect e_i,effect tx_i,effect edge_i,effect currency,effect is_credit
66,2009-11-10,contribution,76,66,2,USD,0
67,2010-01-18,contribution,77,67,2,USD,0
68,2012-09-03,contribution,78,68,2,USD,0
69,2007-08-02,commitment,79,69,3,USD,0
70,2007-08-02,contribution,80,70,3,USD,0
71,2007-11-15,contribution,81,71,3,USD,0
72,2008-02-24,contribution,82,72,3,USD,0
73,2008-03-11,contribution,83,73,3,USD,0
74,2008-08-17,contribution,84,74,3,USD,0
75,2008-09-10,contribution,85,75,3,USD,0
76,2009-02-26,contribution,86,76,3,USD,0
77,2009-04-09,edge_fee_reimbursement,87,77,3,USD,1
78,2009-04-09,recalled_contribution,88,78,3,USD,1
79,2009-04-09,distribution,89,79,3,USD,1
80,2009-08-03,contribution,90,80,3,USD,0
81,2009-09-28,contribution,91,81,3,USD,0
82,2009-11-26,contribution,92,82,3,USD,0
83,2010-01-18,contribution,93,83,3,USD,0
84,2010-02-18,contribution,94,84,3,USD,0
85,2010-09-09,contribution,95,85,3,USD,0
86,2011-05-15,contribution,96,86,3,USD,0
87,2013-01-29,distribution,97,87,3,USD,1
88,2013-04-07,distribution,100,88,3,USD,1
89,2013-04-07,contribution,103,89,3,USD,0
90,2013-07-11,distribution,104,90,3,USD,1
91,2013-10-27,contribution,107,91,3,USD,0
92,2013-10-27,distribution,108,92,3,USD,1
93,2013-12-29,distribution,111,93,3,USD,1
94,2006-06-05,commitment,114,94,4,USD,0
95,2006-06-06,contribution,115,95,4,USD,0
96,2007-01-29,distribution,2680,96,4,USD,1
97,2008-02-03,distribution,2682,97,4,USD,1
98,2009-02-02,distribution,2684,98,4,USD,1
99,2011-06-01,distribution,116,99,4,USD,1
100,2012-12-23,distribution,2686,100,4,USD,1
101,2013-07-04,distribution,117,101,4,USD,1
102,2007-04-04,commitment,3581,102,5,USD,0
103,2007-04-05,contribution,118,103,5,USD,0
104,2008-04-10,contribution,119,104,5,USD,0
105,2009-09-09,contribution,120,105,5,USD,0
106,2010-06-20,recalled_contribution,121,106,5,USD,1
107,2012-02-12,distribution,122,107,5,USD,1
108,2012-11-27,contribution,123,108,5,USD,0
109,2013-01-30,contribution,124,109,5,USD,0
110,2013-05-16,contribution,125,110,5,USD,0
111,2013-10-23,contribution,126,111,5,USD,0
112,2013-12-10,distribution,2025,112,5,USD,1
113,2010-01-12,commitment,127,113,6,USD,0
114,2010-04-12,contribution,128,114,6,USD,0
115,2010-07-28,contribution,129,115,6,USD,0
116,2010-09-13,contribution,130,116,6,USD,0
117,2010-12-21,contribution,131,117,6,USD,0
118,2011-02-15,contribution,132,118,6,USD,0
119,2011-05-12,contribution,133,119,6,USD,0
120,2011-07-26,contribution,134,120,6,USD,0
121,2011-08-08,contribution,135,121,6,USD,0
122,2011-10-26,contribution,136,122,6,USD,0
123,2011-11-24,distribution,137,123,6,USD,1
124,2012-02-05,contribution,138,124,6,USD,0
125,2012-03-11,contribution,139,125,6,USD,0
126,2012-04-10,contribution,140,126,6,USD,0
127,2012-04-25,distribution,141,127,6,USD,1
128,2012-05-06,contribution,142,128,6,USD,0
129,2012-06-11,contribution,143,129,6,USD,0
130,2012-10-16,contribution,144,130,6,USD,0
131,2013-02-27,distribution,145,131,6,USD,1
132,2013-02-27,distribution,147,132,6,USD,1
133,2013-04-24,distribution,148,133,6,USD,1
134,2013-05-16,contribution,151,134,6,USD,0
135,2013-05-21,distribution,152,135,6,USD,1
136,2013-07-07,contribution,155,136,6,USD,0
137,2013-09-10,distribution,2030,137,6,USD,1
138,2013-10-23,contribution,156,138,6,USD,0
139,2013-12-12,distribution,157,139,6,USD,1
140,2013-12-12,distribution,2027,140,6,USD,1
141,2012-01-22,commitment,160,141,7,USD,0
142,2012-01-22,contribution,161,142,7,USD,0
143,2012-03-25,contribution,162,143,7,USD,0
144,2012-05-03,contribution,163,144,7,USD,0
145,2012-09-06,contribution,164,145,7,USD,0
146,2012-10-17,contribution,165,146,7,USD,0
147,2013-01-01,contribution,166,147,7,USD,0
148,2013-02-24,contribution,167,148,7,USD,0
149,2013-05-27,contribution,168,149,7,USD,0
150,2013-08-06,contribution,169,150,7,USD,0
151,2013-10-23,contribution,170,151,7,USD,0
152,2009-08-10,commitment,171,152,8,USD,0
153,2009-08-10,edge_fee,172,153,8,USD,0
154,2009-08-10,contribution,173,154,8,USD,0
155,2009-08-11,recalled_contribution,174,155,8,USD,1
156,2009-08-26,recalled_contribution,175,156,8,USD,1
157,2009-09-07,distribution,2688,157,8,USD,1
158,2009-09-07,distribution,2690,158,8,USD,1
159,2009-09-07,contribution,176,159,8,USD,0
160,2009-09-07,distribution,177,160,8,USD,1
161,2009-09-08,contribution,178,161,8,USD,0
162,2009-10-22,recalled_contribution,179,162,8,USD,1
163,2009-11-01,contribution,180,163,8,USD,0
164,2010-01-19,contribution,181,164,8,USD,0
165,2010-02-14,contribution,182,165,8,USD,0
166,2010-06-02,contribution,183,166,8,USD,0
167,2010-06-22,contribution,184,167,8,USD,0
168,2010-07-04,contribution,185,168,8,USD,0
169,2010-08-18,contribution,186,169,8,USD,0
170,2010-08-25,contribution,187,170,8,USD,0
171,2010-09-26,contribution,188,171,8,USD,0
172,2010-11-14,contribution,189,172,8,USD,0
173,2010-12-30,contribution,190,173,8,USD,0
174,2011-01-20,contribution,191,174,8,USD,0
175,2011-02-02,contribution,192,175,8,USD,0
176,2011-03-03,distribution,193,176,8,USD,1
177,2011-03-03,distribution,2692,177,8,USD,1
178,2011-04-07,contribution,194,178,8,USD,0
179,2011-05-04,contribution,195,179,8,USD,0
180,2011-07-12,contribution,196,180,8,USD,0
181,2011-07-28,contribution,197,181,8,USD,0
182,2011-10-22,edge_fee,198,182,8,USD,0
183,2011-11-27,contribution,199,183,8,USD,0
184,2012-01-15,contribution,200,184,8,USD,0
185,2012-05-01,contribution,201,185,8,USD,0
186,2012-07-12,contribution,202,186,8,USD,0
187,2012-10-11,contribution,203,187,8,USD,0
188,2012-10-25,distribution,2694,188,8,USD,1
189,2012-10-25,distribution,204,189,8,USD,1
190,2013-01-03,contribution,205,190,8,USD,0
191,2013-01-03,distribution,1423,191,8,USD,1
192,2013-01-03,contribution,206,192,8,USD,0
193,2013-01-03,distribution,2696,193,8,USD,1
194,2013-07-14,contribution,207,194,8,USD,0
195,2008-02-13,commitment,208,195,9,USD,0
196,2008-05-25,contribution,209,196,9,USD,0
197,2008-07-08,distribution,210,197,9,USD,1
198,2008-08-03,distribution,211,198,9,USD,1
199,2008-08-06,contribution,212,199,9,USD,0
200,2008-08-27,contribution,213,200,9,USD,0
201,2008-09-21,contribution,214,201,9,USD,0
202,2008-09-21,distribution,2698,202,9,USD,1
203,2008-09-21,distribution,215,203,9,USD,1
204,2008-11-05,contribution,216,204,9,USD,0
205,2008-11-27,contribution,217,205,9,USD,0
206,2009-01-01,distribution,2700,206,9,USD,1
207,2009-01-01,contribution,218,207,9,USD,0
208,2009-01-01,distribution,219,208,9,USD,1
209,2009-03-18,distribution,220,209,9,USD,1
210,2009-03-29,contribution,221,210,9,USD,0
211,2009-04-06,contribution,222,211,9,USD,0
212,2009-04-09,distribution,2702,212,9,USD,1
213,2009-04-09,contribution,223,213,9,USD,0
214,2009-04-09,distribution,224,214,9,USD,1
215,2009-07-27,contribution,225,215,9,USD,0
216,2009-08-19,contribution,226,216,9,USD,0
217,2009-09-20,contribution,227,217,9,USD,0
218,2010-01-19,contribution,228,218,9,USD,0
219,2010-07-13,contribution,229,219,9,USD,0
220,2010-11-10,distribution,2704,220,9,USD,1
221,2011-01-16,distribution,2707,221,9,USD,1
222,2011-01-16,contribution,230,222,9,USD,0
223,2011-02-13,contribution,231,223,9,USD,0
224,2011-07-20,contribution,232,224,9,USD,0
225,2011-08-11,distribution,233,225,9,USD,1
226,2011-08-11,distribution,2709,226,9,USD,1
227,2011-10-20,contribution,234,227,9,USD,0
228,2011-11-06,distribution,2713,228,9,USD,1
229,2011-11-06,distribution,235,229,9,USD,1
230,2011-11-06,distribution,2711,230,9,USD,1
231,2011-12-29,contribution,236,231,9,USD,0
232,2012-02-06,contribution,237,232,9,USD,0
233,2012-02-08,distribution,238,233,9,USD,1
234,2012-03-12,distribution,2718,234,9,USD,1
235,2012-03-12,distribution,2715,235,9,USD,1
236,2012-03-12,distribution,239,236,9,USD,1
237,2012-05-07,contribution,240,237,9,USD,0
238,2012-06-27,contribution,241,238,9,USD,0
239,2012-07-24,contribution,242,239,9,USD,0
240,2012-08-01,contribution,243,240,9,USD,0
241,2012-08-06,distribution,2720,241,9,USD,1
242,2012-08-06,distribution,244,242,9,USD,1
243,2012-09-25,contribution,245,243,9,USD,0
244,2012-12-13,contribution,246,244,9,USD,0
245,2012-12-30,contribution,247,245,9,USD,0
246,2013-01-10,contribution,248,246,9,USD,0
247,2013-02-25,contribution,249,247,9,USD,0
248,2013-03-10,distribution,2722,248,9,USD,1
249,2013-03-10,distribution,250,249,9,USD,1
250,2013-03-10,distribution,251,250,9,USD,1
251,2013-05-28,contribution,254,251,9,USD,0
252,2013-06-17,distribution,255,252,9,USD,1
253,2013-06-20,contribution,258,253,9,USD,0
254,2013-07-23,contribution,259,254,9,USD,0
255,2013-07-28,distribution,260,255,9,USD,1
256,2013-08-28,contribution,263,256,9,USD,0
257,2013-09-04,contribution,264,257,9,USD,0
258,2013-09-26,contribution,265,258,9,USD,0
259,2013-11-07,distribution,266,259,9,USD,1
260,2013-11-20,contribution,269,260,9,USD,0
261,2013-12-10,contribution,270,261,9,USD,0
262,2013-12-30,contribution,271,262,9,USD,0
263,2014-01-01,contribution,272,263,9,USD,0
264,2005-08-09,commitment,273,264,10,USD,0
265,2005-08-09,contribution,274,265,10,USD,0
266,2005-09-12,contribution,275,266,10,USD,0
267,2005-10-10,contribution,276,267,10,USD,0
268,2005-12-29,contribution,277,268,10,USD,0
269,2006-03-01,contribution,278,269,10,USD,0
270,2006-03-12,distribution,2725,270,10,USD,1
271,2006-03-12,distribution,279,271,10,USD,1
272,2006-04-02,contribution,280,272,10,USD,0
273,2006-07-12,contribution,281,273,10,USD,0
274,2006-08-16,contribution,282,274,10,USD,0
275,2006-10-17,distribution,2728,275,10,USD,1
276,2006-10-17,distribution,283,276,10,USD,1
277,2006-10-17,contribution,284,277,10,USD,0
278,2006-12-05,contribution,285,278,10,USD,0
279,2006-12-25,distribution,286,279,10,USD,1
280,2007-01-15,distribution,287,280,10,USD,1
281,2007-04-13,contribution,288,281,10,USD,0
282,2007-04-16,distribution,289,282,10,USD,1
283,2007-10-03,contribution,290,283,10,USD,0
284,2007-10-03,contribution,291,284,10,USD,0
285,2007-10-25,distribution,292,285,10,USD,1
286,2008-02-20,distribution,2731,286,10,USD,1
287,2008-02-20,distribution,293,287,10,USD,1
288,2008-02-20,distribution,2733,288,10,USD,1
289,2008-04-06,distribution,2735,289,10,USD,1
290,2008-04-06,distribution,294,290,10,USD,1
291,2008-04-06,contribution,295,291,10,USD,0
292,2008-06-09,distribution,296,292,10,USD,1
293,2008-06-09,contribution,297,293,10,USD,0
294,2008-07-10,distribution,2738,294,10,USD,1
295,2008-07-10,contribution,298,295,10,USD,0
296,2008-07-10,distribution,299,296,10,USD,1
297,2008-11-02,contribution,300,297,10,USD,0
298,2009-01-01,distribution,301,298,10,USD,1
299,2009-03-17,contribution,302,299,10,USD,0
300,2009-03-17,distribution,303,300,10,USD,1
301,2009-03-17,distribution,2741,301,10,USD,1
302,2009-07-13,distribution,2743,302,10,USD,1
303,2009-07-13,contribution,304,303,10,USD,0
304,2009-10-12,distribution,2746,304,10,USD,1
305,2009-10-12,distribution,305,305,10,USD,1
306,2009-10-13,contribution,306,306,10,USD,0
307,2010-01-17,contribution,307,307,10,USD,0
308,2010-01-17,contribution,308,308,10,USD,0
309,2010-09-01,contribution,309,309,10,USD,0
310,2010-09-01,distribution,310,310,10,USD,1
311,2010-09-01,distribution,2748,311,10,USD,1
312,2010-12-26,contribution,311,312,10,USD,0
313,2010-12-26,distribution,2750,313,10,USD,1
314,2010-12-26,contribution,312,314,10,USD,0
315,2011-03-09,distribution,313,315,10,USD,1
316,2011-03-09,distribution,2753,316,10,USD,1
317,2011-04-06,contribution,314,317,10,USD,0
318,2011-04-06,distribution,2755,318,10,USD,1
319,2011-09-06,distribution,315,319,10,USD,1
320,2011-09-06,distribution,2757,320,10,USD,1
321,2011-12-28,distribution,2759,321,10,USD,1
322,2011-12-28,distribution,316,322,10,USD,1
323,2011-12-28,distribution,2761,323,10,USD,1
324,2012-02-08,contribution,317,324,10,USD,0
325,2012-02-08,distribution,318,325,10,USD,1
326,2012-03-05,contribution,319,326,10,USD,0
327,2012-03-05,distribution,2776,327,10,USD,1
328,2012-03-05,distribution,2774,328,10,USD,1
329,2012-03-05,distribution,320,329,10,USD,1
330,2012-03-22,distribution,321,330,10,USD,1
331,2012-03-22,distribution,2772,331,10,USD,1
332,2012-05-02,distribution,2770,332,10,USD,1
333,2012-05-02,contribution,322,333,10,USD,0
334,2012-05-02,distribution,323,334,10,USD,1
335,2012-06-20,distribution,324,335,10,USD,1
336,2012-06-20,distribution,2768,336,10,USD,1
337,2012-10-15,distribution,2763,337,10,USD,1
338,2012-10-15,contribution,325,338,10,USD,0
339,2012-10-15,distribution,326,339,10,USD,1
340,2012-10-15,distribution,2765,340,10,USD,1
341,2013-01-14,contribution,327,341,10,USD,0
342,2013-06-06,contribution,328,342,10,USD,0
343,2013-06-06,distribution,329,343,10,USD,1
344,2013-07-14,contribution,332,344,10,USD,0
345,2013-10-17,contribution,1525,345,10,USD,0
346,2008-08-24,commitment,333,346,11,USD,0
347,2008-08-24,contribution,334,347,11,USD,0
348,2008-11-02,contribution,335,348,11,USD,0
349,2008-12-17,distribution,336,349,11,USD,1
350,2009-01-07,contribution,337,350,11,USD,0
351,2009-02-11,distribution,338,351,11,USD,1
352,2009-02-11,contribution,339,352,11,USD,0
353,2009-04-14,contribution,340,353,11,USD,0
354,2009-07-13,contribution,341,354,11,USD,0
355,2009-08-13,contribution,342,355,11,USD,0
356,2009-09-07,contribution,343,356,11,USD,0
357,2009-11-19,contribution,344,357,11,USD,0
358,2010-06-27,contribution,345,358,11,USD,0
359,2010-10-12,contribution,346,359,11,USD,0
360,2010-10-24,contribution,347,360,11,USD,0
361,2010-12-26,distribution,2778,361,11,USD,1
362,2010-12-26,recalled_contribution,348,362,11,USD,1
363,2010-12-26,contribution,349,363,11,USD,0
364,2011-04-10,recalled_contribution,350,364,11,USD,1
365,2011-04-10,distribution,2784,365,11,USD,1
366,2011-04-10,contribution,351,366,11,USD,0
367,2011-04-10,distribution,2781,367,11,USD,1
368,2011-05-02,contribution,352,368,11,USD,0
369,2011-07-10,distribution,353,369,11,USD,1
370,2011-07-25,contribution,354,370,11,USD,0
371,2011-08-04,contribution,355,371,11,USD,0
372,2011-08-04,contribution,356,372,11,USD,0
373,2011-08-10,contribution,357,373,11,USD,0
374,2011-09-04,contribution,358,374,11,USD,0
375,2011-10-12,distribution,359,375,11,USD,1
376,2012-01-08,contribution,360,376,11,USD,0
377,2012-01-08,distribution,361,377,11,USD,1
378,2012-03-18,distribution,2789,378,11,USD,1
379,2012-03-18,contribution,362,379,11,USD,0
380,2012-03-18,distribution,2787,380,11,USD,1
381,2012-03-18,distribution,363,381,11,USD,1
382,2012-04-11,contribution,364,382,11,USD,0
383,2012-04-11,distribution,2791,383,11,USD,1
384,2012-04-11,distribution,365,384,11,USD,1
385,2012-05-03,distribution,2793,385,11,USD,1
386,2012-05-03,distribution,366,386,11,USD,1
387,2012-06-06,contribution,367,387,11,USD,0
388,2012-06-06,distribution,2795,388,11,USD,1
389,2012-07-08,contribution,368,389,11,USD,0
390,2012-08-08,distribution,2798,390,11,USD,1
391,2012-08-23,contribution,369,391,11,USD,0
392,2012-09-20,contribution,370,392,11,USD,0
393,2012-10-10,distribution,371,393,11,USD,1
394,2012-10-10,contribution,372,394,11,USD,0
395,2012-10-10,distribution,2801,395,11,USD,1
396,2012-10-25,distribution,373,396,11,USD,1
397,2012-10-25,distribution,2804,397,11,USD,1
398,2012-11-04,contribution,374,398,11,USD,0
399,2012-12-23,contribution,375,399,11,USD,0
400,2013-01-02,distribution,376,400,11,USD,1
401,2013-01-02,recalled_contribution,379,401,11,USD,1
402,2013-05-02,distribution,380,402,11,USD,1
403,2013-05-02,contribution,383,403,11,USD,0
404,2013-05-26,contribution,1538,404,11,USD,0
405,2013-06-05,distribution,384,405,11,USD,1
406,2013-06-05,contribution,387,406,11,USD,0
407,2013-07-14,contribution,388,407,11,USD,0
408,2013-08-04,contribution,389,408,11,USD,0
409,2013-09-19,contribution,390,409,11,USD,0
410,2013-09-19,distribution,391,410,11,USD,1
411,2013-10-14,contribution,394,411,11,USD,0
412,2013-12-03,distribution,395,412,11,USD,1
413,2007-09-09,commitment,398,413,12,USD,0
414,2007-09-09,contribution,399,414,12,USD,0
415,2008-04-06,contribution,400,415,12,USD,0
416,2008-06-26,contribution,401,416,12,USD,0
417,2008-12-28,contribution,402,417,12,USD,0
418,2009-03-25,contribution,403,418,12,USD,0
419,2009-06-17,distribution,2807,419,12,USD,1
420,2009-06-17,distribution,404,420,12,USD,1
421,2009-06-24,contribution,405,421,12,USD,0
422,2009-09-16,contribution,406,422,12,USD,0
423,2009-12-07,distribution,407,423,12,USD,1
424,2009-12-07,distribution,2809,424,12,USD,1
425,2010-04-06,distribution,408,425,12,USD,1
426,2010-04-06,distribution,2811,426,12,USD,1
427,2010-06-22,distribution,2813,427,12,USD,1
428,2010-06-27,contribution,409,428,12,USD,0
429,2010-09-12,distribution,2815,429,12,USD,1
430,2010-12-19,distribution,410,430,12,USD,1
431,2010-12-19,distribution,2817,431,12,USD,1
432,2010-12-26,contribution,411,432,12,USD,0
433,2011-04-11,distribution,2819,433,12,USD,1
434,2011-04-11,distribution,412,434,12,USD,1
435,2011-06-21,distribution,413,435,12,USD,1
436,2011-06-21,distribution,2821,436,12,USD,1
437,2011-09-12,distribution,2823,437,12,USD,1
438,2011-12-14,distribution,414,438,12,USD,1
439,2011-12-14,distribution,2825,439,12,USD,1
440,2012-04-04,distribution,2827,440,12,USD,1
441,2012-07-03,distribution,2829,441,12,USD,1
442,2012-09-09,distribution,2831,442,12,USD,1
443,2012-12-02,distribution,2833,443,12,USD,1
444,2013-04-04,distribution,415,444,12,USD,1
445,2013-06-17,distribution,418,445,12,USD,1
446,2013-09-16,distribution,1770,446,12,USD,1
447,2013-12-22,distribution,1943,447,12,USD,1
448,2007-12-26,commitment,421,448,13,USD,0
449,2008-09-03,contribution,422,449,13,USD,0
450,2008-12-25,contribution,423,450,13,USD,0
451,2009-08-20,contribution,424,451,13,USD,0
452,2009-12-06,contribution,425,452,13,USD,0
453,2011-03-21,contribution,426,453,13,USD,0
454,2011-12-21,contribution,427,454,13,USD,0
455,2012-07-12,contribution,428,455,13,USD,0
456,2012-12-18,distribution,429,456,13,USD,1
457,2013-11-25,distribution,432,457,13,USD,1
458,2009-03-08,commitment,435,458,14,USD,0
459,2011-09-20,distribution,2835,459,14,USD,1
460,2012-02-27,contribution,436,460,14,USD,0
461,2012-08-06,contribution,437,461,14,USD,0
462,2012-11-27,contribution,438,462,14,USD,0
463,2012-12-25,distribution,439,463,14,USD,1
464,2013-02-17,contribution,440,464,14,USD,0
465,2013-04-03,contribution,441,465,14,USD,0
466,2013-06-05,contribution,442,466,14,USD,0
467,2013-12-26,distribution,443,467,14,USD,1
468,2007-02-13,commitment,446,468,15,USD,0
469,2007-10-17,contribution,447,469,15,USD,0
470,2008-02-06,contribution,448,470,15,USD,0
471,2008-05-05,contribution,449,471,15,USD,0
472,2008-07-06,contribution,450,472,15,USD,0
473,2008-12-31,contribution,451,473,15,USD,0
474,2011-02-17,contribution,452,474,15,USD,0
475,2011-09-06,contribution,453,475,15,USD,0
476,2012-01-30,contribution,454,476,15,USD,0
477,2012-04-16,contribution,455,477,15,USD,0
478,2007-08-27,commitment,456,478,16,USD,0
479,2007-11-22,contribution,457,479,16,USD,0
480,2008-01-12,contribution,1933,480,16,USD,0
481,2008-04-11,contribution,1932,481,16,USD,0
482,2008-06-03,edge_fee_reimbursement,458,482,16,USD,1
483,2008-07-27,contribution,459,483,16,USD,0
484,2008-10-08,contribution,460,484,16,USD,0
485,2008-11-20,contribution,461,485,16,USD,0
486,2009-03-22,contribution,462,486,16,USD,0
487,2011-08-11,contribution,463,487,16,USD,0
488,2012-10-04,contribution,464,488,16,USD,0
489,2013-08-22,distribution,465,489,16,USD,1
490,2013-12-19,distribution,468,490,16,USD,1
491,2009-04-30,commitment,471,491,17,USD,0
492,2009-04-30,contribution,472,492,17,USD,0
493,2009-06-03,contribution,1930,493,17,USD,0
494,2009-06-03,contribution,473,494,17,USD,0
495,2009-11-05,contribution,1931,495,17,USD,0
496,2009-11-05,contribution,474,496,17,USD,0
497,2009-12-31,contribution,475,497,17,USD,0
498,2010-07-14,contribution,476,498,17,USD,0
499,2010-12-26,contribution,477,499,17,USD,0
500,2011-05-12,contribution,478,500,17,USD,0
501,2011-11-13,distribution,479,501,17,USD,1
502,2012-03-05,contribution,480,502,17,USD,0
503,2013-02-03,distribution,481,503,17,USD,1
504,2013-02-03,contribution,484,504,17,USD,0
505,2013-02-03,distribution,485,505,17,USD,1
506,2013-07-31,distribution,488,506,17,USD,1
507,2013-11-26,distribution,1606,507,17,USD,1
508,2007-02-13,commitment,491,508,18,USD,0
509,2007-04-13,edge_fee,492,509,18,USD,0
510,2007-04-13,contribution,493,510,18,USD,0
511,2007-07-23,edge_fee_reimbursement,494,511,18,USD,1
512,2007-07-23,contribution,1953,512,18,USD,0
513,2007-07-23,contribution,495,513,18,USD,0
514,2007-12-27,contribution,496,514,18,USD,0
515,2008-02-11,contribution,497,515,18,USD,0
516,2008-07-19,contribution,498,516,18,USD,0
517,2008-07-31,distribution,499,517,18,USD,1
518,2008-12-24,contribution,500,518,18,USD,0
519,2008-12-29,distribution,1954,519,18,USD,1
520,2009-01-18,contribution,501,520,18,USD,0
521,2009-03-17,contribution,502,521,18,USD,0
522,2009-06-15,contribution,503,522,18,USD,0
523,2009-07-13,contribution,504,523,18,USD,0
524,2009-08-19,distribution,505,524,18,USD,1
525,2009-08-19,contribution,506,525,18,USD,0
526,2009-09-28,contribution,507,526,18,USD,0
527,2009-09-28,distribution,508,527,18,USD,1
528,2009-11-18,contribution,509,528,18,USD,0
529,2009-11-18,distribution,510,529,18,USD,1
530,2009-12-01,contribution,511,530,18,USD,0
531,2009-12-01,distribution,512,531,18,USD,1
532,2010-01-21,contribution,513,532,18,USD,0
533,2010-02-14,distribution,514,533,18,USD,1
534,2010-03-17,distribution,2837,534,18,USD,1
535,2010-03-17,distribution,515,535,18,USD,1
536,2010-04-14,contribution,516,536,18,USD,0
537,2010-05-18,edge_fee,517,537,18,USD,0
538,2010-05-18,distribution,2839,538,18,USD,1
539,2010-05-18,contribution,518,539,18,USD,0
540,2010-05-18,distribution,2841,540,18,USD,1
541,2010-05-30,distribution,2844,541,18,USD,1
542,2010-06-22,distribution,2847,542,18,USD,1
543,2010-07-13,contribution,519,543,18,USD,0
544,2010-08-22,distribution,2850,544,18,USD,1
545,2010-11-25,contribution,520,545,18,USD,0
546,2010-11-28,distribution,2856,546,18,USD,1
547,2010-11-28,distribution,2852,547,18,USD,1
548,2010-11-28,distribution,2854,548,18,USD,1
549,2010-11-28,contribution,521,549,18,USD,0
550,2010-11-28,distribution,522,550,18,USD,1
551,2010-12-27,distribution,2858,551,18,USD,1
552,2010-12-27,distribution,2860,552,18,USD,1
553,2011-01-23,contribution,523,553,18,USD,0
554,2011-03-03,contribution,524,554,18,USD,0
555,2011-03-06,distribution,2862,555,18,USD,1
556,2011-06-30,distribution,2868,556,18,USD,1
557,2011-06-30,distribution,2864,557,18,USD,1
558,2011-06-30,distribution,2866,558,18,USD,1
559,2011-06-30,distribution,525,559,18,USD,1
560,2011-06-30,contribution,526,560,18,USD,0
561,2011-07-19,contribution,527,561,18,USD,0
562,2011-09-11,distribution,2870,562,18,USD,1
563,2011-11-07,contribution,528,563,18,USD,0
564,2011-11-27,contribution,529,564,18,USD,0
565,2011-12-04,distribution,2872,565,18,USD,1
566,2011-12-04,distribution,2874,566,18,USD,1
567,2011-12-04,distribution,530,567,18,USD,1
568,2011-12-13,contribution,531,568,18,USD,0
569,2012-01-10,distribution,532,569,18,USD,1
570,2012-01-17,contribution,533,570,18,USD,0
571,2012-02-16,distribution,2876,571,18,USD,1
572,2012-02-16,distribution,534,572,18,USD,1
