"id","transaction_date","transaction_type"
267,"2005-10-10",contribution
268,"2005-12-29",contribution
269,"2006-03-01",contribution
270,"2006-03-12",distribution
271,"2006-03-12",distribution
272,"2006-04-02",contribution
273,"2006-07-12",contribution
274,"2006-08-16",contribution
275,"2006-10-17",distribution
276,"2006-10-17",distribution
277,"2006-10-17",contribution
278,"2006-12-05",contribution
279,"2006-12-25",distribution
280,"2007-01-15",distribution
281,"2007-04-13",contribution
282,"2007-04-16",distribution
283,"2007-10-03",contribution
284,"2007-10-03",contribution
285,"2007-10-25",distribution
286,"2008-02-20",distribution
287,"2008-02-20",distribution
288,"2008-02-20",distribution
289,"2008-04-06",distribution
290,"2008-04-06",distribution
291,"2008-04-06",contribution
292,"2008-06-09",distribution
293,"2008-06-09",contribution
294,"2008-07-10",distribution
295,"2008-07-10",contribution
296,"2008-07-10",distribution
297,"2008-11-02",contribution
298,"2009-01-01",distribution
299,"2009-03-17",contribution
300,"2009-03-17",distribution
301,"2009-03-17",distribution
302,"2009-07-13",distribution
303,"2009-07-13",contribution
304,"2009-10-12",distribution
305,"2009-10-12",distribution
306,"2009-10-13",contribution
307,"2010-01-17",contribution
308,"2010-01-17",contribution
309,"2010-09-01",contribution
310,"2010-09-01",distribution
311,"2010-09-01",distribution
312,"2010-12-26",contribution
313,"2010-12-26",distribution
314,"2010-12-26",contribution
315,"2011-03-09",distribution
316,"2011-03-09",distribution
317,"2011-04-06",contribution
318,"2011-04-06",distribution
319,"2011-09-06",distribution
320,"2011-09-06",distribution
321,"2011-12-28",distribution
322,"2011-12-28",distribution
323,"2011-12-28",distribution
324,"2012-02-08",contribution
325,"2012-02-08",distribution
326,"2012-03-05",contribution
327,"2012-03-05",distribution
328,"2012-03-05",distribution
329,"2012-03-05",distribution
330,"2012-03-22",distribution
331,"2012-03-22",distribution
332,"2012-05-02",distribution
333,"2012-05-02",contribution
334,"2012-05-02",distribution
335,"2012-06-20",distribution
336,"2012-06-20",distribution
337,"2012-10-15",distribution
338,"2012-10-15",contribution
339,"2012-10-15",distribution
340,"2012-10-15",distribution
341,"2013-01-14",contribution
342,"2013-06-06",contribution
343,"2013-06-06",distribution
344,"2013-07-14",contribution
345,"2013-10-17",contribution
346,"2008-08-24",commitment
347,"2008-08-24",contribution
348,"2008-11-02",contribution
349,"2008-12-17",distribution
350,"2009-01-07",contribution
351,"2009-02-11",distribution
352,"2009-02-11",contribution
353,"2009-04-14",contribution
354,"2009-07-13",contribution
355,"2009-08-13",contribution
356,"2009-09-07",contribution
357,"2009-11-19",contribution
358,"2010-06-27",contribution
359,"2010-10-12",contribution
360,"2010-10-24",contribution
361,"2010-12-26",distribution
362,"2010-12-26",recalled_contribution
363,"2010-12-26",contribution
364,"2011-04-10",recalled_contribution
365,"2011-04-10",distribution
366,"2011-04-10",contribution
367,"2011-04-10",distribution
368,"2011-05-02",contribution
369,"2011-07-10",distribution
370,"2011-07-25",contribution
371,"2011-08-04",contribution
372,"2011-08-04",contribution
373,"2011-08-10",contribution
374,"2011-09-04",contribution
375,"2011-10-12",distribution
376,"2012-01-08",contribution
377,"2012-01-08",distribution
378,"2012-03-18",distribution
379,"2012-03-18",contribution
380,"2012-03-18",distribution
381,"2012-03-18",distribution
382,"2012-04-11",contribution
383,"2012-04-11",distribution
384,"2012-04-11",distribution
385,"2012-05-03",distribution
386,"2012-05-03",distribution
387,"2012-06-06",contribution
388,"2012-06-06",distribution
389,"2012-07-08",contribution
390,"2012-08-08",distribution
391,"2012-08-23",contribution
392,"2012-09-20",contribution
393,"2012-10-10",distribution
394,"2012-10-10",contribution
395,"2012-10-10",distribution
396,"2012-10-25",distribution
397,"2012-10-25",distribution
398,"2012-11-04",contribution
399,"2012-12-23",contribution
400,"2013-01-02",distribution
401,"2013-01-02",recalled_contribution
402,"2013-05-02",distribution
403,"2013-05-02",contribution
404,"2013-05-26",contribution
405,"2013-06-05",distribution
406,"2013-06-05",contribution
407,"2013-07-14",contribution
408,"2013-08-04",contribution
409,"2013-09-19",contribution
410,"2013-09-19",distribution
411,"2013-10-14",contribution
412,"2013-12-03",distribution
413,"2007-09-09",commitment
414,"2007-09-09",contribution
415,"2008-04-06",contribution
416,"2008-06-26",contribution
417,"2008-12-28",contribution
418,"2009-03-25",contribution
419,"2009-06-17",distribution
420,"2009-06-17",distribution
421,"2009-06-24",contribution
422,"2009-09-16",contribution
423,"2009-12-07",distribution
424,"2009-12-07",distribution
425,"2010-04-06",distribution
426,"2010-04-06",distribution
427,"2010-06-22",distribution
428,"2010-06-27",contribution
429,"2010-09-12",distribution
430,"2010-12-19",distribution
431,"2010-12-19",distribution
432,"2010-12-26",contribution
433,"2011-04-11",distribution
434,"2011-04-11",distribution
435,"2011-06-21",distribution
436,"2011-06-21",distribution
437,"2011-09-12",distribution
438,"2011-12-14",distribution
439,"2011-12-14",distribution
440,"2012-04-04",distribution
441,"2012-07-03",distribution
442,"2012-09-09",distribution
443,"2012-12-02",distribution
444,"2013-04-04",distribution
445,"2013-06-17",distribution
446,"2013-09-16",distribution
447,"2013-12-22",distribution
448,"2007-12-26",commitment
449,"2008-09-03",contribution
450,"2008-12-25",contribution
451,"2009-08-20",contribution
452,"2009-12-06",contribution
453,"2011-03-21",contribution
454,"2011-12-21",contribution
455,"2012-07-12",contribution
456,"2012-12-18",distribution
457,"2013-11-25",distribution
458,"2009-03-08",commitment
459,"2011-09-20",distribution
460,"2012-02-27",contribution
461,"2012-08-06",contribution
462,"2012-11-27",contribution
463,"2012-12-25",distribution
464,"2013-02-17",contribution
465,"2013-04-03",contribution
466,"2013-06-05",contribution
467,"2013-12-26",distribution
468,"2007-02-13",commitment
469,"2007-10-17",contribution
470,"2008-02-06",contribution
471,"2008-05-05",contribution
472,"2008-07-06",contribution
473,"2008-12-31",contribution
474,"2011-02-17",contribution
475,"2011-09-06",contribution
476,"2012-01-30",contribution
477,"2012-04-16",contribution
478,"2007-08-27",commitment
479,"2007-11-22",contribution
480,"2008-01-12",contribution
481,"2008-04-11",contribution
482,"2008-06-03",edge_fee_reimbursement
483,"2008-07-27",contribution
484,"2008-10-08",contribution
485,"2008-11-20",contribution
486,"2009-03-22",contribution
487,"2011-08-11",contribution
488,"2012-10-04",contribution
489,"2013-08-22",distribution
490,"2013-12-19",distribution
491,"2009-04-30",commitment
492,"2009-04-30",contribution
493,"2009-06-03",contribution
494,"2009-06-03",contribution
495,"2009-11-05",contribution
496,"2009-11-05",contribution
497,"2009-12-31",contribution
498,"2010-07-14",contribution
499,"2010-12-26",contribution
500,"2011-05-12",contribution
501,"2011-11-13",distribution
502,"2012-03-05",contribution
503,"2013-02-03",distribution
504,"2013-02-03",contribution
505,"2013-02-03",distribution
506,"2013-07-31",distribution
507,"2013-11-26",distribution
508,"2007-02-13",commitment
509,"2007-04-13",edge_fee
510,"2007-04-13",contribution
511,"2007-07-23",edge_fee_reimbursement
512,"2007-07-23",contribution
513,"2007-07-23",contribution
514,"2007-12-27",contribution
515,"2008-02-11",contribution
516,"2008-07-19",contribution
517,"2008-07-31",distribution
518,"2008-12-24",contribution
519,"2008-12-29",distribution
520,"2009-01-18",contribution
521,"2009-03-17",contribution
522,"2009-06-15",contribution
523,"2009-07-13",contribution
524,"2009-08-19",distribution
525,"2009-08-19",contribution
526,"2009-09-28",contribution
527,"2009-09-28",distribution
528,"2009-11-18",contribution
529,"2009-11-18",distribution
530,"2009-12-01",contribution
531,"2009-12-01",distribution
532,"2010-01-21",contribution
533,"2010-02-14",distribution
534,"2010-03-17",distribution
535,"2010-03-17",distribution
536,"2010-04-14",contribution
537,"2010-05-18",edge_fee
538,"2010-05-18",distribution
539,"2010-05-18",contribution
540,"2010-05-18",distribution
541,"2010-05-30",distribution
542,"2010-06-22",distribution
543,"2010-07-13",contribution
544,"2010-08-22",distribution
545,"2010-11-25",contribution
546,"2010-11-28",distribution
547,"2010-11-28",distribution
548,"2010-11-28",distribution
549,"2010-11-28",contribution
550,"2010-11-28",distribution
551,"2010-12-27",distribution
552,"2010-12-27",distribution
553,"2011-01-23",contribution
554,"2011-03-03",contribution
555,"2011-03-06",distribution
556,"2011-06-30",distribution
557,"2011-06-30",distribution
558,"2011-06-30",distribution
559,"2011-06-30",distribution
560,"2011-06-30",contribution
561,"2011-07-19",contribution
562,"2011-09-11",distribution
563,"2011-11-07",contribution
564,"2011-11-27",contribution
565,"2011-12-04",distribution
566,"2011-12-04",distribution
567,"2011-12-04",distribution
568,"2011-12-13",contribution
569,"2012-01-10",distribution
570,"2012-01-17",contribution
571,"2012-02-16",distribution
572,"2012-02-16",distribution
573,"2012-05-09",distribution
574,"2012-05-09",recalled_contribution
575,"2012-07-12",contribution
576,"2012-08-09",distribution
577,"2012-11-25",distribution
578,"2012-11-25",contribution
579,"2012-12-18",contribution
580,"2012-12-18",distribution
581,"2013-01-15",contribution
582,"2013-02-13",distribution
583,"2013-04-14",contribution
584,"2013-05-02",distribution
585,"2013-05-02",contribution
586,"2013-08-04",distribution
587,"2013-08-13",contribution
588,"2013-10-15",contribution
589,"2013-12-22",contribution
590,"2013-12-22",distribution
591,"2011-11-28",commitment
592,"2012-04-25",contribution
593,"2012-05-08",contribution
594,"2012-07-17",edge_fee_reimbursement
595,"2012-07-17",contribution
596,"2012-07-17",recalled_contribution
597,"2012-10-15",contribution
598,"2012-11-04",contribution
599,"2012-12-02",distribution
600,"2013-01-15",contribution
601,"2013-03-26",distribution
602,"2013-04-14",contribution
603,"2013-05-08",contribution
604,"2013-06-27",distribution
605,"2013-07-18",contribution
606,"2013-09-01",contribution
607,"2013-10-15",distribution
608,"2013-10-15",contribution
609,"2013-12-31",contribution
610,"2009-11-26",commitment
611,"2009-11-26",contribution
612,"2010-05-06",distribution
613,"2010-05-13",contribution
614,"2010-08-03",distribution
615,"2010-09-21",contribution
616,"2010-11-03",distribution
617,"2011-02-07",distribution
618,"2011-02-16",contribution
619,"2011-03-10",contribution
620,"2011-05-03",distribution
621,"2011-07-21",contribution
622,"2011-08-03",distribution
623,"2011-09-26",contribution
624,"2011-11-01",distribution
625,"2011-11-03",contribution
626,"2011-11-27",contribution
627,"2011-12-11",contribution
628,"2012-02-19",distribution
629,"2012-02-27",distribution
630,"2012-05-01",distribution
631,"2012-05-03",distribution
632,"2012-07-17",distribution
633,"2012-08-15",distribution
634,"2012-09-04",distribution
635,"2012-10-21",distribution
636,"2012-11-04",distribution
637,"2013-01-17",distribution
638,"2013-01-31",distribution
639,"2013-05-02",distribution
640,"2013-07-02",distribution
641,"2013-08-01",distribution
642,"2013-10-15",distribution
643,"2013-11-03",distribution
644,"2012-04-25",commitment
645,"2012-04-25",contribution
646,"2012-07-10",contribution
647,"2012-08-01",contribution
648,"2012-08-26",contribution
649,"2012-09-12",contribution
650,"2012-10-31",contribution
651,"2012-11-06",contribution
652,"2013-01-31",distribution
653,"2013-05-02",distribution
654,"2013-05-26",contribution
655,"2013-07-08",contribution
656,"2013-08-01",distribution
657,"2013-09-29",distribution
658,"2013-10-06",contribution
659,"2013-11-03",distribution
660,"2008-10-12",commitment
661,"2008-10-12",contribution
662,"2009-01-20",distribution
663,"2009-01-20",contribution
664,"2009-04-14",distribution
665,"2009-04-14",contribution
666,"2009-07-27",distribution
667,"2009-07-27",contribution
668,"2009-10-13",contribution
669,"2010-01-19",distribution
670,"2010-01-19",contribution
671,"2010-02-04",distribution
672,"2010-03-07",distribution
673,"2010-04-18",distribution
674,"2010-04-18",contribution
675,"2010-05-12",distribution
676,"2010-06-10",distribution
677,"2010-07-13",distribution
678,"2010-07-13",contribution
679,"2010-08-05",distribution
680,"2010-09-12",distribution
681,"2010-10-14",distribution
682,"2010-10-14",contribution
683,"2011-01-16",contribution
684,"2011-04-13",contribution
685,"2011-04-18",contribution
686,"2011-05-17",distribution
687,"2011-06-14",distribution
688,"2011-07-13",distribution
689,"2011-07-13",contribution
690,"2011-08-09",distribution
691,"2011-09-12",distribution
692,"2011-10-16",distribution
693,"2011-10-16",distribution
694,"2011-10-16",distribution
695,"2011-10-16",contribution
696,"2011-11-07",contribution
697,"2011-11-17",distribution
698,"2011-12-12",distribution
699,"2012-01-17",distribution
700,"2012-01-17",contribution
701,"2012-01-24",contribution
702,"2012-02-19",distribution
703,"2012-03-11",distribution
704,"2012-03-11",distribution
705,"2012-04-22",distribution
706,"2012-04-22",contribution
707,"2012-05-08",distribution
708,"2012-05-08",contribution
709,"2012-05-13",distribution
710,"2012-06-11",distribution
711,"2012-07-22",distribution
712,"2012-07-22",contribution
713,"2012-08-16",distribution
714,"2012-09-11",distribution
715,"2012-10-18",distribution
716,"2012-10-18",distribution
717,"2012-10-18",contribution
718,"2012-11-11",distribution
719,"2012-12-25",distribution
720,"2013-01-21",distribution
721,"2013-01-21",distribution
722,"2013-01-21",contribution
723,"2013-02-21",distribution
724,"2013-03-07",distribution
725,"2013-05-07",contribution
726,"2013-05-07",distribution
727,"2013-05-08",distribution
728,"2013-05-15",distribution
729,"2013-07-21",distribution
730,"2013-07-28",contribution
731,"2013-07-28",distribution
732,"2013-08-14",distribution
733,"2013-08-27",contribution
734,"2013-09-10",distribution
735,"2013-09-23",distribution
736,"2013-10-28",distribution
737,"2013-10-28",contribution
738,"2013-11-21",distribution
739,"2013-11-26",distribution
740,"2013-12-10",distribution
741,"2013-12-12",distribution
742,"2013-12-26",distribution
743,"2008-08-31",commitment
744,"2009-01-20",contribution
745,"2009-01-20",distribution
746,"2009-04-14",contribution
747,"2009-04-14",distribution
748,"2009-07-27",contribution
749,"2009-07-27",distribution
750,"2009-10-13",contribution
751,"2010-01-19",contribution
752,"2010-01-19",distribution
753,"2010-02-04",distribution
754,"2010-03-08",distribution
755,"2010-04-18",distribution
756,"2010-04-18",contribution
757,"2010-05-12",distribution
758,"2010-06-10",distribution
759,"2010-07-13",distribution
760,"2010-07-13",contribution
761,"2010-08-05",distribution
762,"2010-09-12",distribution
763,"2010-10-14",distribution
764,"2010-10-14",contribution
765,"2011-01-16",contribution
766,"2011-04-13",contribution
767,"2011-04-18",contribution
768,"2011-05-17",distribution
769,"2011-06-14",distribution
770,"2011-07-13",distribution
771,"2011-07-13",contribution
772,"2011-08-09",distribution
773,"2011-09-12",distribution
774,"2011-10-16",distribution
775,"2011-10-16",distribution
776,"2011-10-16",distribution
777,"2011-10-16",contribution
778,"2011-11-17",distribution
779,"2011-12-12",distribution
780,"2012-01-17",distribution
781,"2012-01-17",contribution
782,"2012-02-19",distribution
783,"2012-03-11",distribution
784,"2012-03-11",distribution
785,"2012-04-22",distribution
786,"2012-04-22",contribution
787,"2012-05-08",contribution
788,"2012-05-13",distribution
789,"2012-06-11",distribution
790,"2012-07-22",distribution
791,"2012-07-22",contribution
792,"2012-08-16",distribution
793,"2012-09-11",distribution
794,"2012-10-18",distribution
795,"2012-10-18",contribution
796,"2012-11-11",distribution
797,"2012-12-18",contribution
798,"2012-12-25",distribution
799,"2013-01-21",distribution
800,"2013-01-21",distribution
801,"2013-01-21",contribution
802,"2013-02-21",distribution
803,"2013-02-27",contribution
804,"2013-02-27",recalled_contribution
805,"2013-03-07",distribution
806,"2013-05-07",contribution
807,"2013-05-07",distribution
808,"2013-05-08",distribution
809,"2013-05-15",distribution
810,"2013-07-03",distribution
811,"2013-07-28",contribution
812,"2013-07-28",distribution
813,"2013-08-14",distribution
814,"2013-09-10",distribution
815,"2013-09-23",distribution
816,"2013-10-28",distribution
817,"2013-10-28",contribution
818,"2013-11-21",distribution
819,"2013-11-26",distribution
820,"2013-12-10",distribution
821,"2013-12-12",distribution
822,"2012-07-11",commitment
823,"2012-07-22",contribution
824,"2012-10-18",distribution
825,"2012-10-18",contribution
826,"2012-10-18",recalled_contribution
827,"2012-12-18",contribution
828,"2013-01-21",contribution
829,"2013-02-27",contribution
830,"2013-02-27",recalled_contribution
831,"2013-05-07",contribution
832,"2013-06-19",contribution
833,"2013-06-24",contribution
834,"2013-07-03",distribution
835,"2013-07-28",distribution
836,"2013-07-28",contribution
837,"2013-08-15",contribution
838,"2013-08-27",contribution
839,"2013-09-08",distribution
840,"2013-09-23",distribution
841,"2013-10-28",distribution
842,"2013-10-28",contribution
843,"2013-12-10",distribution
844,"2007-06-13",commitment
845,"2007-06-24",contribution
846,"2007-09-09",distribution
847,"2007-11-27",distribution
848,"2008-02-25",distribution
849,"2008-06-04",distribution
850,"2008-08-28",distribution
851,"2008-10-28",distribution
852,"2009-04-09",distribution
853,"2009-06-01",distribution
854,"2009-09-20",distribution
855,"2009-11-29",distribution
856,"2010-03-21",distribution
857,"2010-06-03",distribution
858,"2010-09-12",distribution
859,"2010-11-30",distribution
860,"2011-03-01",distribution
861,"2011-05-31",distribution
862,"2011-08-31",distribution
863,"2011-12-20",distribution
864,"2012-03-25",distribution
865,"2012-05-31",distribution
866,"2012-09-06",distribution
867,"2012-12-03",distribution
868,"2013-02-28",distribution
869,"2013-06-05",distribution
870,"2013-09-02",distribution
871,"2013-11-26",distribution
872,"2009-05-02",commitment
873,"2009-05-03",distribution
874,"2009-05-03",contribution
875,"2009-05-03",contribution
876,"2009-05-10",distribution
877,"2009-05-11",distribution
878,"2009-06-09",contribution
879,"2009-06-10",distribution
880,"2009-07-05",contribution
881,"2009-07-09",distribution
882,"2009-07-09",contribution
883,"2009-08-09",distribution
884,"2009-09-06",contribution
885,"2009-09-08",distribution
886,"2009-10-11",distribution
887,"2009-10-14",contribution
888,"2009-11-09",distribution
889,"2009-11-15",contribution
890,"2009-12-06",distribution
891,"2009-12-15",contribution
892,"2010-01-10",distribution
893,"2010-01-17",contribution
894,"2010-02-09",distribution
895,"2010-02-15",contribution
896,"2010-03-10",distribution
897,"2010-04-07",distribution
898,"2010-04-13",contribution
899,"2010-05-10",distribution
900,"2010-05-13",contribution
901,"2010-06-10",distribution
902,"2010-06-15",contribution
903,"2010-07-11",distribution
904,"2010-07-13",contribution
905,"2010-08-10",distribution
906,"2010-08-15",contribution
907,"2010-09-08",distribution
908,"2010-09-14",contribution
909,"2010-10-11",distribution
910,"2010-10-14",contribution
911,"2010-11-09",distribution
912,"2010-12-12",distribution
913,"2010-12-30",contribution
914,"2011-01-11",distribution
915,"2011-01-16",contribution
916,"2011-02-08",distribution
917,"2011-02-28",contribution
918,"2011-03-09",distribution
919,"2011-04-06",distribution
920,"2011-04-13",contribution
921,"2011-05-10",distribution
922,"2011-05-16",contribution
923,"2011-05-17",distribution
924,"2011-06-08",distribution
925,"2011-06-23",distribution
926,"2011-07-10",distribution
927,"2011-07-13",contribution
928,"2011-08-10",distribution
929,"2011-08-15",contribution
930,"2011-09-07",distribution
931,"2011-10-10",distribution
932,"2011-10-12",contribution
933,"2011-10-19",distribution
934,"2011-10-19",distribution
935,"2011-11-08",distribution
936,"2011-11-27",contribution
937,"2011-12-11",distribution
938,"2011-12-22",distribution
939,"2011-12-28",contribution
940,"2012-01-09",distribution
941,"2012-01-15",contribution
942,"2012-02-09",distribution
943,"2012-02-14",contribution
944,"2012-03-11",distribution
945,"2012-03-20",contribution
946,"2012-03-21",distribution
947,"2012-04-04",distribution
948,"2012-04-15",contribution
949,"2012-05-07",distribution
950,"2012-05-08",distribution
951,"2012-05-14",contribution
952,"2012-05-21",distribution
953,"2012-06-06",distribution
954,"2012-06-13",contribution
955,"2012-07-08",distribution
956,"2012-07-12",contribution
957,"2012-08-05",contribution
958,"2012-08-08",distribution
959,"2012-09-05",distribution
960,"2012-09-12",contribution
961,"2012-10-09",distribution
962,"2012-10-15",contribution
963,"2012-11-06",distribution
964,"2012-11-07",distribution
965,"2012-12-10",distribution
966,"2013-01-08",distribution
967,"2013-01-09",contribution
968,"2013-02-10",distribution
969,"2013-03-11",distribution
970,"2013-03-20",contribution
971,"2013-04-08",distribution
972,"2013-04-15",contribution
973,"2013-04-17",distribution
974,"2013-04-17",distribution
975,"2013-05-08",distribution
976,"2013-05-13",contribution
977,"2013-06-10",distribution
978,"2013-07-09",distribution
979,"2013-07-11",distribution
980,"2013-07-15",contribution
981,"2013-08-07",distribution
982,"2013-08-14",contribution
983,"2013-09-09",distribution
984,"2013-09-16",contribution
985,"2013-09-25",distribution
986,"2013-10-09",distribution
987,"2013-10-15",contribution
988,"2013-11-06",distribution
989,"2013-11-14",contribution
990,"2013-12-11",distribution
991,"2013-12-18",contribution
